"pretest_id","scenario","question","adjective","response_in_order","response_reverse"
"pre_001","Alex hilft einem älteren Mann, seine Einkäufe nach Hause zu tragen.","Wie freundlich war Alex?","freundlich","4. eher freundlich","3. neutral"
"pre_002","Sam verteilt die Gewinne eines Projekts zu gleichen Teilen unter allen Mitwirkenden.","Wie fair war Sam?","fair","3. neutral","3. neutral"
"pre_003","Chris schreit einen Kollegen wegen eines kleinen Fehlers vor versammeltem Team an.","Wie angemessen war das Verhalten von Chris?","angemessen","4. eher angemessen","4. eher nicht angemessen"
"pre_004","Taylor begleitet eine Freundin nachts sicher nach Hause.","Wie hilfsbereit war Taylor?","hilfsbereit","5. sehr hilfsbereit","3. neutral"
"pre_005","Jordan ignoriert wiederholt die Wünsche seines Partners.","Wie respektvoll war Jordan?","respektvoll","2. eher nicht respektvoll","4. eher nicht respektvoll"
"pre_006","Emma schenkt ihrer Kollegin ohne besonderen Anlass ein kleines Geschenk.","Wie aufmerksam war Emma?","aufmerksam","3. neutral","3. neutral"
"pre_007","Lukas unterbricht andere ständig in einem Gruppengespräch.","Wie rücksichtsvoll war Lukas?","rücksichtsvoll","3. neutral","4. eher nicht rücksichtsvoll"
"pre_008","Nora übernimmt freiwillig die unangenehmsten Aufgaben im Team.","Wie selbstlos war Nora?","selbstlos","3. neutral","3. neutral"
"pre_009","Tom erzählt sensible Informationen über einen Freund weiter.","Wie vertrauenswürdig war Tom?","vertrauenswürdig","4. eher vertrauenswürdig","4. eher nicht vertrauenswürdig"
"pre_010","Lea hört geduldig zu, obwohl sie selbst gestresst ist.","Wie geduldig war Lea?","geduldig","3. neutral","3. neutral"
"pre_011","Ben gibt einem Obdachlosen seine Jacke, obwohl es draußen kalt ist.","Wie mitfühlend war Ben?","mitfühlend","3. neutral","3. neutral"
"pre_012","Mia kritisiert die Arbeit eines Kollegen vor anderen, ohne konstruktives Feedback zu geben.","Wie respektvoll war Mias Kritik?","respektvoll","1. gar nicht respektvoll","5. gar nicht respektvoll"
"pre_013","Max hilft einem Freund, der in einer schwierigen Situation steckt.","Wie unterstützend war Max?","unterstützend","3. neutral","3. neutral"
"pre_014","Sophie nimmt sich Zeit, um einem neuen Teammitglied alles zu erklären.","Wie geduldig war Sophie?","geduldig","3. neutral","3. neutral"
"pre_015","Paul macht Witze auf Kosten eines anderen, um selbst besser dazustehen.","Wie respektvoll war Paul?","respektvoll","2. eher nicht respektvoll","4. eher nicht respektvoll"
"pre_016","Julia bringt einem Kollegen Kaffee, der viel zu tun hat.","Wie fürsorglich war Julia?","fürsorglich","3. neutral","3. neutral"
"pre_017","Kevin kritisiert die Ideen eines Kollegen, ohne eigene Vorschläge zu machen.","Wie konstruktiv war Kevins Kritik?","konstruktiv","2. eher nicht konstruktiv","5. gar nicht konstruktiv"
"pre_018","Lisa hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Lisa?","großzügig","3. neutral","3. neutral"
"pre_019","David nimmt sich Zeit, um einem Kind bei den Hausaufgaben zu helfen.","Wie geduldig war David?","geduldig","3. neutral","3. neutral"
"pre_020","Anna spricht schlecht über eine Kollegin hinter ihrem Rücken.","Wie respektvoll war Annas Verhalten?","respektvoll","1. gar nicht respektvoll","5. gar nicht respektvoll"
"pre_021","Oliver unterstützt seine Kollegin bei einem schwierigen Projekt.","Wie hilfsbereit war Oliver?","hilfsbereit","3. neutral","3. neutral"
"pre_022","Clara organisiert ein Team-Event, um den Zusammenhalt zu stärken.","Wie teamfördernd war Clara?","teamfördernd","3. neutral","3. neutral"
"pre_023","Felix gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Felix?","unterstützend","3. neutral","3. neutral"
"pre_024","Sophie hört aufmerksam zu, wenn ihr Freund von seinen Problemen erzählt.","Wie aufmerksam war Sophie?","aufmerksam","4. eher aufmerksam","2. eher aufmerksam"
"pre_025","Lukas hilft einem Nachbarn, der gesundheitliche Probleme hat.","Wie fürsorglich war Lukas?","fürsorglich","5. sehr fürsorglich","3. neutral"
"pre_026","Mia respektiert die Privatsphäre ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Mia?","respektvoll","3. neutral","3. neutral"
"pre_027","Tim hilft einem Kollegen, der Schwierigkeiten hat, eine Aufgabe zu bewältigen.","Wie unterstützend war Tim?","unterstützend","3. neutral","3. neutral"
"pre_028","Anna nimmt sich Zeit, um einem neuen Teammitglied bei der Einarbeitung zu helfen.","Wie geduldig war Anna?","geduldig","3. neutral","3. neutral"
"pre_029","Max gibt konstruktives Feedback zu den Ideen eines Kollegen.","Wie konstruktiv war Max' Feedback?","konstruktiv","4. eher konstruktiv","2. eher konstruktiv"
"pre_030","Julia unterstützt ihre Freundin emotional in einer schwierigen Zeit.","Wie unterstützend war Julia?","unterstützend","3. neutral","3. neutral"
"pre_031","Ben hilft einem Freund, der in einer finanziellen Notlage ist.","Wie großzügig war Ben?","großzügig","4. eher großzügig","3. neutral"
"pre_032","Lisa hört geduldig zu, wenn ihr Kind von der Schule erzählt.","Wie geduldig war Lisa?","geduldig","3. neutral","3. neutral"
"pre_033","Oliver gibt einem Kollegen Tipps, um seine Arbeit effizienter zu gestalten.","Wie hilfreich war Oliver?","hilfreich","4. eher hilfreich","3. neutral"
"pre_034","Clara organisiert ein Treffen, um Konflikte im Team zu lösen.","Wie konfliktlösend war Clara?","konfliktlösend","3. neutral","3. neutral"
"pre_035","Felix unterstützt seine Schwester bei der Vorbereitung auf eine Prüfung.","Wie unterstützend war Felix?","unterstützend","3. neutral","3. neutral"
"pre_036","Sophie hilft einem Freund, der gesundheitliche Probleme hat.","Wie fürsorglich war Sophie?","fürsorglich","5. sehr fürsorglich","3. neutral"
"pre_037","Lukas hört aufmerksam zu, wenn sein Freund von seinen Sorgen erzählt.","Wie aufmerksam war Lukas?","aufmerksam","4. eher aufmerksam","3. neutral"
"pre_038","Mia gibt einem Kollegen konstruktives Feedback zu seiner Präsentation.","Wie konstruktiv war Mias Feedback?","konstruktiv","4. eher konstruktiv","3. neutral"
"pre_039","Tim unterstützt seine Freundin bei der Planung ihrer Hochzeit.","Wie unterstützend war Tim?","unterstützend","3. neutral","3. neutral"
"pre_040","Anna hilft einem Kollegen, der in einer schwierigen Situation steckt.","Wie hilfsbereit war Anna?","hilfsbereit","3. neutral","3. neutral"
"pre_041","Max hört geduldig zu, wenn sein Freund von seinen Problemen erzählt.","Wie geduldig war Max?","geduldig","3. neutral","3. neutral"
"pre_042","Julia gibt einem Kollegen Ratschläge, die ihm bei seiner Arbeit helfen.","Wie hilfreich war Julia?","hilfreich","4. eher hilfreich","3. neutral"
"pre_043","Ben unterstützt seine Schwester bei der Suche nach einem neuen Job.","Wie unterstützend war Ben?","unterstützend","3. neutral","3. neutral"
"pre_044","Lisa hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Lisa?","großzügig","4. eher großzügig","3. neutral"
"pre_045","Oliver hört aufmerksam zu, wenn sein Kollege von seinen Ideen erzählt.","Wie aufmerksam war Oliver?","aufmerksam","4. eher aufmerksam","3. neutral"
"pre_046","Clara gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Clara?","unterstützend","3. neutral","3. neutral"
"pre_047","Felix hilft einem Kollegen, der gesundheitliche Probleme hat.","Wie fürsorglich war Felix?","fürsorglich","5. sehr fürsorglich","3. neutral"
"pre_048","Sophie respektiert die Grenzen ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Sophie?","respektvoll","3. neutral","3. neutral"
"pre_049","Lukas unterstützt seine Kollegin bei einem schwierigen Projekt.","Wie hilfsbereit war Lukas?","hilfsbereit","3. neutral","3. neutral"
"pre_050","Mia organisiert ein Team-Event, um den Zusammenhalt zu stärken.","Wie teamfördernd war Mia?","teamfördernd","3. neutral","3. neutral"
"pre_051","Tim gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Tim?","unterstützend","4. eher unterstützend","3. neutral"
"pre_052","Anna hört aufmerksam zu, wenn ihr Freund von seinen Problemen erzählt.","Wie aufmerksam war Anna?","aufmerksam","4. eher aufmerksam","2. eher aufmerksam"
"pre_053","Max hilft einem Nachbarn, der gesundheitliche Probleme hat.","Wie fürsorglich war Max?","fürsorglich","5. sehr fürsorglich","1. sehr fürsorglich"
"pre_054","Julia respektiert die Privatsphäre ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Julia?","respektvoll","3. neutral","3. neutral"
"pre_055","Ben hilft einem Kollegen, der Schwierigkeiten hat, eine Aufgabe zu bewältigen.","Wie unterstützend war Ben?","unterstützend","3. neutral","3. neutral"
"pre_056","Lisa nimmt sich Zeit, um einem neuen Teammitglied bei der Einarbeitung zu helfen.","Wie geduldig war Lisa?","geduldig","3. neutral","3. neutral"
"pre_057","Oliver gibt konstruktives Feedback zu den Ideen eines Kollegen.","Wie konstruktiv war Olivers Feedback?","konstruktiv","3. neutral","3. neutral"
"pre_058","Clara unterstützt ihre Freundin emotional in einer schwierigen Zeit.","Wie unterstützend war Clara?","unterstützend","3. neutral","3. neutral"
"pre_059","Felix hilft einem Freund, der in einer finanziellen Notlage ist.","Wie großzügig war Felix?","großzügig","3. neutral","3. neutral"
"pre_060","Sophie hört geduldig zu, wenn ihr Kind von der Schule erzählt.","Wie geduldig war Sophie?","geduldig","3. neutral","3. neutral"
"pre_061","Lukas gibt einem Kollegen Tipps, um seine Arbeit effizienter zu gestalten.","Wie hilfreich war Lukas?","hilfreich","3. neutral","3. neutral"
"pre_062","Mia organisiert ein Treffen, um Konflikte im Team zu lösen.","Wie konfliktlösend war Mia?","konfliktlösend","3. neutral","3. neutral"
"pre_063","Tim unterstützt seine Schwester bei der Vorbereitung auf eine Prüfung.","Wie unterstützend war Tim?","unterstützend","3. neutral","3. neutral"
"pre_064","Anna hilft einem Freund, der gesundheitliche Probleme hat.","Wie fürsorglich war Anna?","fürsorglich","5. sehr fürsorglich","3. neutral"
"pre_065","Max hört aufmerksam zu, wenn sein Freund von seinen Sorgen erzählt.","Wie aufmerksam war Max?","aufmerksam","5. sehr aufmerksam","1. sehr aufmerksam"
"pre_066","Julia gibt einem Kollegen konstruktives Feedback zu seiner Präsentation.","Wie konstruktiv war Julias Feedback?","konstruktiv","3. neutral","2. eher konstruktiv"
"pre_067","Ben unterstützt seine Freundin bei der Planung ihrer Hochzeit.","Wie unterstützend war Ben?","unterstützend","3. neutral","3. neutral"
