"case_id","persona_id","response"
"C001","P001","1. gar nicht unhöflich"
"C001","P002","1. gar nicht unhöflich"
"C001","P003","1. gar nicht unhöflich"
"C001","P004","1. gar nicht unhöflich"
"C001","P005","1. gar nicht unhöflich"
"C001","P006","1. gar nicht unhöflich"
"C001","P007","1. gar nicht unhöflich"
"C001","P008","1. gar nicht unhöflich"
"C001","P009","1. gar nicht unhöflich"
"C001","P010","1. gar nicht unhöflich"
"C001","P011","1. gar nicht unhöflich"
"C001","P012","1. gar nicht unhöflich"
"C001","P013","1. gar nicht unhöflich"
"C001","P014","1. gar nicht unhöflich"
"C001","P015","1. gar nicht unhöflich"
"C001","P016","1. gar nicht unhöflich"
"C001","P017","1. gar nicht unhöflich"
"C001","P018","1. gar nicht unhöflich"
"C001","P019","1. gar nicht unhöflich"
"C001","P020","1. gar nicht unhöflich"
"C001","P021","1. gar nicht unhöflich"
"C001","P022","1. gar nicht unhöflich"
"C001","P023","1. gar nicht unhöflich"
"C001","P024","1. gar nicht unhöflich"
"C001","P025","1. gar nicht unhöflich"
"C001","P026","1. gar nicht unhöflich"
"C001","P027","1. gar nicht unhöflich"
"C001","P028","1. gar nicht unhöflich"
"C001","P029","1. gar nicht unhöflich"
"C001","P030","1. gar nicht unhöflich"
"C001","P031","1. gar nicht unhöflich"
"C001","P032","1. gar nicht unhöflich"
"C001","P033","1. gar nicht unhöflich"
"C001","P034","1. gar nicht unhöflich"
"C001","P035","1. gar nicht unhöflich"
"C002","P001","4. eher geeignet"
"C002","P002","4. eher geeignet"
"C002","P003","4. eher geeignet"
"C002","P004","4. eher geeignet"
"C002","P005","4. eher geeignet"
"C002","P006","4. eher geeignet"
"C002","P007","4. eher geeignet"
"C002","P008","4. eher geeignet"
"C002","P009","4. eher geeignet"
"C002","P010","4. eher geeignet"
"C002","P011","4. eher geeignet"
"C002","P012","4. eher geeignet"
"C002","P013","4. eher geeignet"
"C002","P014","4. eher geeignet"
"C002","P015","4. eher geeignet"
"C002","P016","4. eher geeignet"
"C002","P017","4. eher geeignet"
"C002","P018","4. eher geeignet"
"C002","P019","4. eher geeignet"
"C002","P020","4. eher geeignet"
"C002","P021","4. eher geeignet"
"C002","P022","4. eher geeignet"
"C002","P023","4. eher geeignet"
"C002","P024","4. eher geeignet"
"C002","P025","4. eher geeignet"
"C002","P026","4. eher geeignet"
"C002","P027","4. eher geeignet"
"C002","P028","4. eher geeignet"
"C002","P029","4. eher geeignet"
"C002","P030","4. eher geeignet"
"C002","P031","4. eher geeignet"
"C002","P032","4. eher geeignet"
"C002","P033","4. eher geeignet"
"C002","P034","4. eher geeignet"
"C002","P035","4. eher geeignet"
"C003","P001","2. eher nicht intolerant"
"C003","P002","2. eher nicht intolerant"
"C003","P003","2. eher nicht intolerant"
"C003","P004","2. eher nicht intolerant"
"C003","P005","2. eher nicht intolerant"
"C003","P006","2. eher nicht intolerant"
"C003","P007","2. eher nicht intolerant"
"C003","P008","2. eher nicht intolerant"
"C003","P009","2. eher nicht intolerant"
"C003","P010","2. eher nicht intolerant"
"C003","P011","2. eher nicht intolerant"
"C003","P012","2. eher nicht intolerant"
"C003","P013","2. eher nicht intolerant"
"C003","P014","1. gar nicht intolerant"
"C003","P015","2. eher nicht intolerant"
"C003","P016","2. eher nicht intolerant"
"C003","P017","2. eher nicht intolerant"
"C003","P018","1. gar nicht intolerant"
"C003","P019","2. eher nicht intolerant"
