
"question","adjective"
"Wie zuverlässig ist {name} bei der Einhaltung von Fristen?","zuverlässig"
"Wie freundlich wirkt {name} im ersten Gespräch?","freundlich"
"Wie selbstbewusst präsentiert sich {name} bei Präsentationen?","selbstbewusst"
"Wie flexibel reagiert {name} auf unerwartete Änderungen?","flexibel"
"Wie sorgfältig arbeitet {name} an Projekten?","aufmerksam"
"Wie empathisch hört {name} anderen zu?","empathisch"
"Wie kreativ löst {name} Probleme?","kreativ"
"Wie verantwortungsbewusst trifft {name} Entscheidungen?","verantwortungsbewusst"
"Wie optimistisch sieht {name} Herausforderungen?","optimistisch"
"Wie geduldig bleibt {name} bei wiederholten Aufgaben?","geduldig"
"Wie hilfsbereit unterstützt {name} Kollegen bei Bedarf?","hilfsbereit"
"Wie kommunikativ erklärt {name} komplexe Ideen?","kommunikativ"
"Wie zuverlässig ist {name} bei der Einhaltung von Versprechen?","verlässlich"
"Wie detailorientiert plant {name} seine Arbeitsabläufe?","detailorientiert"
"Wie offen steht {name} neuen Perspektiven gegenüber?","offen"
"Wie verantwortungsbewusst verwendet {name} Ressourcen?","ressourcenschonend"
"Wie selbstständig arbeitet {name} ohne ständige Anleitung?","selbstständig"
"Wie respektvoll behandelt {name} andere in Diskussionen?","respektvoll"
"Wie schnell erfasst {name} neue Konzepte?","schnell"
"Wie strukturiert organisiert {name} seine Aufgaben?","strukturiert"
"Wie innovativ denkt {name} über traditionelle Lösungen?","innovativ"
"Wie empathisch reagiert {name} auf die Bedürfnisse anderer?","sensibel"
"Wie zuverlässig hält {name} Termine ein?","pünktlich"
"Wie kooperativ arbeitet {name} im Team?","kooperativ"
"Wie konsequent verfolgt {name} gesetzte Ziele?","konsequent"
"Wie motiviert bleibt {name} bei Rückschlägen?","motiviert"
"Wie belastbar reagiert {name} unter Druck?","belastbar"
"Wie verantwortungsbewusst nutzt {name} technologische Hilfsmittel?","technisch versiert"
"Wie einfühlsam versteht {name} die Anliegen anderer?","einfühlsam"
