uuid,question,adjective
cd2a105b-11b6-485c-86af-c040ac57f7b0,Wie gut kann {name} komplexe Zusammenhänge erfassen?,analytisch
33d0f2ed-5f32-4246-a3b8-a5029ee8a079,Wie zuverlässig ist {name} bei wichtigen Terminen?,zuverlässig
16c2449b-5901-416f-82b8-110119c27e70,Wie kreativ geht {name} an neue Herausforderungen heran?,kreativ
a5601010-3aa3-4a4d-9e4f-9a8ab9e3d465,Wie gut kann {name} andere Menschen motivieren?,motivierend
a8f29c20-4a21-40ee-9141-e0318feb9d51,Wie strukturiert organisiert {name} den Alltag?,organisiert
6727c440-848b-4584-ae4b-44c31b2aa088,Wie empathisch reagiert {name} auf die Sorgen anderer?,empathisch
2997dff5-ca33-4793-8fd1-ebb3e2ae9179,Wie durchsetzungsfähig ist {name} in schwierigen Situationen?,durchsetzungsfähig
54a86385-6daa-441e-8b84-26fa30a7aa45,Wie geduldig bleibt {name} bei langwierigen Aufgaben?,geduldig
f4e05c6b-5e81-49db-b5ee-26371a39aea7,Wie gut kann {name} unter Zeitdruck arbeiten?,belastbar
a783d69c-89c1-4d1a-a4ea-27c2a0610c4d,Wie höflich verhält sich {name} in sozialen Situationen?,höflich
138bc2a5-bd7d-4383-ae3a-3602b90ab0da,Wie spontan kann {name} auf unerwartete Änderungen reagieren?,flexibel
5d744dbd-6bed-4e21-b145-63998655c4a1,Wie sorgfältig prüft {name} wichtige Entscheidungen?,sorgfältig
31316519-897a-4e31-8080-12c074fe1bf1,Wie optimistisch blickt {name} in die Zukunft?,optimistisch
53018fb3-2cec-4162-b131-9832beadf0a5,Wie gut kann {name} Geheimnisse für sich behalten?,diskret
47d1060b-7ed0-48e2-9dd2-71ec0941b8d0,Wie selbstständig löst {name} alltägliche Probleme?,selbstständig
0828acec-eecb-46e9-a469-5edac1f44421,Wie hilfsbereit zeigt sich {name} gegenüber Nachbarn?,hilfsbereit
f2db1c6b-c2c1-4bc2-92f4-62df4bc20ab1,Wie sparsam geht {name} mit den eigenen Ressourcen um?,sparsam
9a536d74-b273-45fd-8314-f1700434bbc9,Wie aufmerksam nimmt {name} Details in der Umgebung wahr?,aufmerksam
97eac3eb-f8eb-45cf-bad4-f96325eef786,Wie diplomatisch kommuniziert {name} in Konfliktsituationen?,diplomatisch
6997e823-6a7e-45e7-baec-4547d3779da8,Wie neugierig ist {name} auf neue Erfahrungen?,neugierig
e07d59cd-8746-473a-b7f1-1b164300a33b,Wie loyal verhält sich {name} gegenüber Freunden?,loyal
6b0a5ef4-3c53-4d91-a8c1-6538e030222f,Wie mutig geht {name} neue Wege?,mutig
5661692e-8e98-49cb-a2b1-d5fc66aa8fa7,Wie bescheiden tritt {name} gegenüber anderen auf?,bescheiden
353e5bc0-09f6-4989-954d-b863df471e56,Wie respektvoll behandelt {name} unterschiedliche Meinungen?,respektvoll
9a84669b-3495-4639-a52f-e1af8d5a5894,Wie gut kann {name} Prioritäten bei mehreren Aufgaben setzen?,prioritätsbewusst
dd6e3620-d257-43da-82bb-8b0dea5c43dc,Wie ehrlich ist {name} in zwischenmenschlichen Beziehungen?,ehrlich
5a68553a-4e5e-4548-8b65-dd867fd88cc8,Wie ausgeglichen reagiert {name} auf Stress?,ausgeglichen
632ade05-f1be-42e7-be15-833a807a70a4,Wie gesellig verhält sich {name} in Gruppen?,gesellig
8f47be2d-2104-45d6-8e57-31bdd8e32425,Wie verantwortungsbewusst handelt {name} bei wichtigen Angelegenheiten?,verantwortungsbewusst
878a5fc7-f322-4a4c-b527-2c530ca28399,Wie tolerant zeigt sich {name} gegenüber anderen Lebensweisen?,tolerant
