uuid,question,adjective
33ab83eb-3b75-492f-b1dd-b56ae29c6a7f,Wie gut kann {name} eine Gruppe anleiten und Entscheidungen für andere treffen?,führungsstark
78e9c864-c707-4b12-873a-a898fffc859e,Wie geht {name} mit starken Meinungsverschiedenheiten um?,konfliktfähig
46de21c7-1ef0-4b49-89e5-0c1275476716,"Wie zuverlässig handelt {name}, wenn das Ergebnis für viele Menschen wichtig ist?",zuverlässig
291bc92a-3833-4380-a290-f8c73523619b,Wie sehr berücksichtigt {name} die Gefühle anderer bei seinen Entscheidungen?,einfühlsam
eeef859f-2ff1-40f6-9732-db3b6ee49d12,Wie gut kann {name} eigene Interessen gegen Widerstand verteidigen?,durchsetzungsfähig
3cf11fe2-61bd-4a6c-9ee3-5fa7d8f6cb98,"Wie wahrscheinlich ist es, dass {name} in unsicheren Situationen ein Risiko eingeht?",risikobereit
9975ce1f-5463-49b1-a9ab-017cce899eeb,"Wie offen reagiert {name}, wenn seine Arbeit stark kritisiert wird?",kritikfähig
fe08f245-1ccb-4359-b2f3-017dd0691b6d,Wie sehr arbeitet {name} lieber im Team statt alleine?,kooperativ
82dad07d-3d1c-470d-b237-ec1c34409296,"Wie sehr kann man sich darauf verlassen, dass {name} vertrauliche Informationen nicht weitergibt?",vertrauenswürdig
9aedef6a-1405-4c3d-b2f8-7b493065a05f,"Wie stark kann {name} andere dazu bewegen, ein gemeinsames Ziel zu verfolgen?",motivierend
