"pretest_id","scenario","question","adjective","response_in_order","response_reverse"
"pre_001","Alex hilft einem älteren Mann, seine Einkäufe nach Hause zu tragen.","Wie freundlich war Alex?","freundlich","4. eher freundlich","3. neutral"
"pre_002","Sam verteilt die Gewinne eines Projekts zu gleichen Teilen unter allen Mitwirkenden.","Wie fair war Sam?","fair","3. neutral","3. neutral"
"pre_003","Chris schreit einen Kollegen wegen eines kleinen Fehlers vor versammeltem Team an.","Wie angemessen war das Verhalten von Chris?","angemessen","3. neutral","4. eher nicht angemessen"
"pre_004","Taylor begleitet eine Freundin nachts sicher nach Hause.","Wie hilfsbereit war Taylor?","hilfsbereit","3. neutral","3. neutral"
"pre_005","Jordan ignoriert wiederholt die Wünsche seines Partners.","Wie respektvoll war Jordan?","respektvoll","2. eher nicht respektvoll","4. eher nicht respektvoll"
"pre_006","Emma schenkt ihrer Kollegin ohne besonderen Anlass ein kleines Geschenk.","Wie aufmerksam war Emma?","aufmerksam","3. neutral","3. neutral"
"pre_007","Lukas unterbricht andere ständig in einem Gruppengespräch.","Wie rücksichtsvoll war Lukas?","rücksichtsvoll","3. neutral","4. eher nicht rücksichtsvoll"
"pre_008","Nora übernimmt freiwillig die unangenehmsten Aufgaben im Team.","Wie selbstlos war Nora?","selbstlos","4. eher selbstlos","1. sehr selbstlos"
"pre_009","Tom erzählt sensible Informationen über einen Freund weiter.","Wie vertrauenswürdig war Tom?","vertrauenswürdig","3. neutral","3. neutral"
"pre_010","Lea hört geduldig zu, obwohl sie selbst gestresst ist.","Wie geduldig war Lea?","geduldig","3. neutral","3. neutral"
"pre_011","Ben gibt einem Obdachlosen seine Jacke, obwohl es draußen kalt ist.","Wie mitfühlend war Ben?","mitfühlend","3. neutral","3. neutral"
"pre_012","Mia kritisiert die Arbeit eines Kollegen vor anderen, ohne konstruktives Feedback zu geben.","Wie respektvoll war Mias Kritik?","respektvoll","2. eher nicht respektvoll","4. eher nicht respektvoll"
"pre_013","Max hilft einem Freund, der in einer schwierigen Situation steckt.","Wie unterstützend war Max?","unterstützend","4. eher unterstützend","3. neutral"
"pre_014","Sophie nimmt sich Zeit, um einem neuen Teammitglied alles zu erklären.","Wie geduldig war Sophie?","geduldig","3. neutral","3. neutral"
"pre_015","Paul macht Witze auf Kosten eines anderen, um selbst besser dazustehen.","Wie respektvoll war Paul?","respektvoll","2. eher nicht respektvoll","4. eher nicht respektvoll"
"pre_016","Julia bringt einem Kollegen Kaffee, der viel zu tun hat.","Wie fürsorglich war Julia?","fürsorglich","4. eher fürsorglich","3. neutral"
"pre_017","Kevin kritisiert die Ideen eines Kollegen, ohne eigene Vorschläge zu machen.","Wie konstruktiv war Kevins Kritik?","konstruktiv","2. eher nicht konstruktiv","4. eher nicht konstruktiv"
"pre_018","Lisa hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Lisa?","großzügig","4. eher großzügig","3. neutral"
"pre_019","David nimmt sich Zeit, um einem Kind bei den Hausaufgaben zu helfen.","Wie geduldig war David?","geduldig","3. neutral","3. neutral"
"pre_020","Anna spricht schlecht über eine Kollegin hinter ihrem Rücken.","Wie respektvoll war Annas Verhalten?","respektvoll","2. eher nicht respektvoll","4. eher nicht respektvoll"
