"question","adjective"
"Wie gut kann {name} Verantwortung übernehmen?","verantwortungsbewusst"
"Wie gewissenhaft ist {name} im Umgang mit Aufgaben?","gewissenhaft"
"Wie hilfsbereit wirkt {name} gegenüber anderen?","hilfsbereit"
"Wie gut kann {name} unter Druck arbeiten?","stressresistent"
"Wie organisiert ist {name} bei der Planung von Aufgaben?","organisiert"
"Wie zuverlässig ist {name} bei der Einhaltung von Terminen?","zuverlässig"
"Wie offen ist {name} für neue Ideen?","aufgeschlossen"
"Wie schnell kann {name} sich an neue Umstände anpassen?","anpassungsfähig"
"Wie gut kann {name} Konflikte lösen?","konfliktfähig"
"Wie gut arbeitet {name} im Team?","teamfähig"
"Wie freundlich wirkt {name} im Umgang mit anderen?","freundlich"
"Wie kreativ ist {name} bei der Lösungsfindung?","kreativ"
"Wie gut kann {name} mit unerwarteten Situationen umgehen?","flexibel"
"Wie aufmerksam ist {name} bei der Erfüllung von Aufgaben?","aufmerksam"
"Wie zuverlässig ist {name} in der Arbeit mit sensiblen Informationen?","vertrauenswürdig"
"Wie engagiert ist {name} bei der Verwirklichung seiner Ziele?","engagiert"
"Wie gut kann {name} andere motivieren?","motivierend"
"Wie gut kann {name} mit Veränderungen umgehen?","veränderungsbereit"
"Wie gewissenhaft ist {name} bei der Arbeit mit Details?","detailorientiert"
"Wie empathisch ist {name} im Umgang mit anderen?","einfühlsam"
"Wie gut kann {name} in stressigen Situationen ruhig bleiben?","gelassen"
"Wie gut kann {name} mit anderen Meinungen umgehen?","tolerant"
"Wie aufgeschlossen ist {name} gegenüber Kritik?","kritikfähig"
"Wie zielstrebig ist {name} bei der Verwirklichung seiner Vorhaben?","zielstrebig"
"Wie gut ist {name} darin, Aufgaben zu delegieren?","delegationsfähig"
"Wie gut ist {name} darin, sich auf seine Stärken zu konzentrieren?","selbstbewusst"
"Wie gründlich ist {name} bei der Recherche von Informationen?","gründlich"
"Wie effektiv ist {name} bei der Nutzung seiner Ressourcen?","ressourcenschonend"
"Wie gut kann {name} mit schwierigen Entscheidungen umgehen?","entscheidungsfähig"
"Wie respektvoll geht {name} mit anderen Menschen um?","respektvoll"
