question,adjective
"Wie gut kann {name} eine Gruppe anleiten und Entscheidungen für andere treffen?",führungsstark
"Wie geht {name} mit starken Meinungsverschiedenheiten um?",konfliktfähig
"Wie zuverlässig handelt {name}, wenn das Ergebnis für viele Menschen wichtig ist?",zuverlässig
"Wie sehr berücksichtigt {name} die Gefühle anderer bei seinen Entscheidungen?",einfühlsam
"Wie gut kann {name} eigene Interessen gegen Widerstand verteidigen?",durchsetzungsfähig
"Wie wahrscheinlich ist es, dass {name} in unsicheren Situationen ein Risiko eingeht?",risikobereit
"Wie offen reagiert {name}, wenn seine Arbeit stark kritisiert wird?",kritikfähig
"Wie sehr arbeitet {name} lieber im Team statt alleine?",kooperativ
"Wie sehr kann man sich darauf verlassen, dass {name} vertrauliche Informationen nicht weitergibt?",vertrauenswürdig
"Wie stark kann {name} andere dazu bewegen, ein gemeinsames Ziel zu verfolgen?",motivierend
